Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.2	0	combined	Drop	8992	253	2248	63.4062
0.2	1	combined	Drop	0	0	0	0
0.2	2	combined	Drop	0	0	0	0
0.2	3	combined	Drop	0	0	0	0
0.2	4	combined	Drop	0	0	0	0
0.2	5	combined	Drop	0	0	0	0
0.2	6	combined	Drop	0	0	0	0
0.2	7	combined	Drop	0	0	0	0
0.2	8	combined	Drop	2644	2739	661	684.776
0.4	0	combined	Drop	7158	202	1340	37.9492
0.4	1	combined	Drop	0	0	0	0
0.4	2	combined	Drop	0	0	0	0
0.4	3	combined	Drop	0	0	0	0
0.4	4	combined	Drop	0	0	0	0
0.4	5	combined	Drop	0	0	0	0
0.4	6	combined	Drop	0	0	0	0
0.4	7	combined	Drop	0	0	0	0
0.4	8	combined	Drop	3288	3407	690	714.932
0.6	0	combined	Drop	1431	40	0	0
0.6	1	combined	Drop	0	0	0	0
0.6	2	combined	Drop	0	0	0	0
0.6	3	combined	Drop	0	0	0	0
0.6	4	combined	Drop	0	0	0	0
0.6	5	combined	Drop	0	0	0	0
0.6	6	combined	Drop	0	0	0	0
0.6	7	combined	Drop	0	0	0	0
0.6	8	combined	Drop	657	681	0	0
0.8	0	combined	Drop	7398	209	1778	50.3535
0.8	1	combined	Drop	0	0	0	0
0.8	2	combined	Drop	0	0	0	0
0.8	3	combined	Drop	0	0	0	0
0.8	4	combined	Drop	0	0	0	0
0.8	5	combined	Drop	0	0	0	0
0.8	6	combined	Drop	0	0	0	0
0.8	7	combined	Drop	0	0	0	0
0.8	8	combined	Drop	2055	2129	481	498.38
1	0	combined	Drop	1479	41	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	0	0	0	0
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	1135	1175	181	187.54
1.2	0	combined	Drop	295	8	0	0
1.2	1	combined	Drop	0	0	0	0
1.2	2	combined	Drop	0	0	0	0
1.2	3	combined	Drop	0	0	0	0
1.2	4	combined	Drop	0	0	0	0
1.2	5	combined	Drop	0	0	0	0
1.2	6	combined	Drop	0	0	0	0
1.2	7	combined	Drop	0	0	0	0
1.2	8	combined	Drop	226	234	0	0
1.4	0	combined	Drop	6755	191	1674	47.4082
1.4	1	combined	Drop	0	0	0	0
1.4	2	combined	Drop	0	0	0	0
1.4	3	combined	Drop	0	0	0	0
1.4	4	combined	Drop	0	0	0	0
1.4	5	combined	Drop	0	0	0	0
1.4	6	combined	Drop	0	0	0	0
1.4	7	combined	Drop	0	0	0	0
1.4	8	combined	Drop	1817	1882	443	459.007
1.6	0	combined	Drop	1350	38	0	0
1.6	1	combined	Drop	0	0	0	0
1.6	2	combined	Drop	0	0	0	0
1.6	3	combined	Drop	0	0	0	0
1.6	4	combined	Drop	0	0	0	0
1.6	5	combined	Drop	0	0	0	0
1.6	6	combined	Drop	0	0	0	0
1.6	7	combined	Drop	0	0	0	0
1.6	8	combined	Drop	1087	1126	181	187.54
1.8	0	combined	Drop	269	7	0	0
1.8	1	combined	Drop	0	0	0	0
1.8	2	combined	Drop	0	0	0	0
1.8	3	combined	Drop	0	0	0	0
1.8	4	combined	Drop	0	0	0	0
1.8	5	combined	Drop	0	0	0	0
1.8	6	combined	Drop	0	0	0	0
1.8	7	combined	Drop	0	0	0	0
1.8	8	combined	Drop	217	225	0	0
2	0	combined	Drop	189	5	34	0.962891
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	0	0	0	0
2	5	combined	Drop	0	0	0	0
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	0	0	0	0
2	8	combined	Drop	43	44	0	0
2.2	0	combined	Drop	9109	256	2268	63.9688
2.2	1	combined	Drop	0	0	0	0
2.2	2	combined	Drop	0	0	0	0
2.2	3	combined	Drop	0	0	0	0
2.2	4	combined	Drop	0	0	0	0
2.2	5	combined	Drop	0	0	0	0
2.2	6	combined	Drop	0	0	0	0
2.2	7	combined	Drop	0	0	0	0
2.2	8	combined	Drop	2716	2814	677	701.434
2.4	0	combined	Drop	10925	309	2276	64.457
2.4	1	combined	Drop	0	0	0	0
2.4	2	combined	Drop	0	0	0	0
2.4	3	combined	Drop	0	0	0	0
2.4	4	combined	Drop	0	0	0	0
2.4	5	combined	Drop	0	0	0	0
2.4	6	combined	Drop	0	0	0	0
2.4	7	combined	Drop	0	0	0	0
2.4	8	combined	Drop	3911	4052	842	872.35
2.6	0	combined	Drop	5121	144	734	20.7871
