Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.2	0	combined	Drop	4496	126	1124	31.7031
0.2	1	combined	Drop	0	0	0	0
0.2	2	combined	Drop	0	0	0	0
0.2	3	combined	Drop	0	0	0	0
0.2	4	combined	Drop	0	0	0	0
0.2	5	combined	Drop	0	0	0	0
0.2	6	combined	Drop	0	0	0	0
0.2	7	combined	Drop	0	0	0	0
0.2	8	combined	Drop	2644	2739	661	684.776
0.4	0	combined	Drop	5311	149	1103	31.1162
0.4	1	combined	Drop	0	0	0	0
0.4	2	combined	Drop	88	2	22	0.614258
0.4	3	combined	Drop	0	0	0	0
0.4	4	combined	Drop	0	0	0	0
0.4	5	combined	Drop	152	16	38	4.07617
0.4	6	combined	Drop	0	0	0	0
0.4	7	combined	Drop	0	0	0	0
0.4	8	combined	Drop	3668	3801	785	813.305
0.6	0	combined	Drop	5530	156	1117	31.5957
0.6	1	combined	Drop	56	5	14	1.3916
0.6	2	combined	Drop	185	5	42	1.18945
0.6	3	combined	Drop	0	0	0	0
0.6	4	combined	Drop	0	0	0	0
0.6	5	combined	Drop	338	36	77	8.21777
0.6	6	combined	Drop	0	0	0	0
0.6	7	combined	Drop	0	0	0	0
0.6	8	combined	Drop	3221	3338	622	644.46
0.8	0	combined	Drop	5526	156	1105	31.2275
0.8	1	combined	Drop	983	64	243	15.9492
0.8	2	combined	Drop	665	18	157	4.41992
0.8	3	combined	Drop	0	0	0	0
0.8	4	combined	Drop	76	78	19	19.6865
0.8	5	combined	Drop	215	67	37	15.1367
0.8	6	combined	Drop	0	0	0	0
0.8	7	combined	Drop	0	0	0	0
0.8	8	combined	Drop	2984	3092	585	606.116
1	0	combined	Drop	5569	157	1116	31.5703
1	1	combined	Drop	820	70	156	14.4961
1	2	combined	Drop	653	18	130	3.68164
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	47	48	8	8.28906
1	5	combined	Drop	42	13	0	0
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2540	2632	486	503.549
1.2	0	combined	Drop	5577	157	1116	31.541
1.2	1	combined	Drop	163	13	0	0
1.2	2	combined	Drop	294	8	41	1.15527
1.2	3	combined	Drop	0	0	0	0
1.2	4	combined	Drop	45	14	9	1.26172
1.2	5	combined	Drop	388	61	95	14.7822
1.2	6	combined	Drop	0	0	0	0
1.2	7	combined	Drop	0	0	0	0
1.2	8	combined	Drop	2664	2760	539	558.403
1.4	0	combined	Drop	5627	159	1128	31.9453
1.4	1	combined	Drop	32	2	0	0
1.4	2	combined	Drop	114	3	14	0.396484
1.4	3	combined	Drop	0	0	0	0
1.4	4	combined	Drop	245	86	59	20.8193
1.4	5	combined	Drop	837	78	190	16.4668
1.4	6	combined	Drop	0	0	0	0
1.4	7	combined	Drop	0	0	0	0
1.4	8	combined	Drop	2736	2835	551	570.909
1.6	0	combined	Drop	5637	159	1128	31.9453
1.6	1	combined	Drop	730	53	181	13.1885
1.6	2	combined	Drop	534	15	128	3.625
1.6	3	combined	Drop	0	0	0	0
1.6	4	combined	Drop	97	66	12	12.4336
1.6	5	combined	Drop	207	16	10	0.283203
1.6	6	combined	Drop	0	0	0	0
1.6	7	combined	Drop	0	0	0	0
1.6	8	combined	Drop	2987	3095	610	632.041
1.8	0	combined	Drop	5627	158	1125	31.751
1.8	1	combined	Drop	205	68	15	14.5332
1.8	2	combined	Drop	210	5	26	0.736328
1.8	3	combined	Drop	0	0	0	0
1.8	4	combined	Drop	51	46	8	8.28906
1.8	5	combined	Drop	41	3	0	0
1.8	6	combined	Drop	0	0	0	0
1.8	7	combined	Drop	0	0	0	0
1.8	8	combined	Drop	3421	3545	706	731.508
2	0	combined	Drop	5681	160	1139	32.2559
2	1	combined	Drop	73	38	8	6.26953
2	2	combined	Drop	274	7	58	1.64258
2	3	combined	Drop	20	4	5	1.14941
2	4	combined	Drop	314	33	76	6.18359
2	5	combined	Drop	180	25	43	6.25586
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	100	10	25	2.71777
2	8	combined	Drop	2460	2549	444	460.014
2.2	0	combined	Drop	5684	160	1137	32.2002
2.2	1	combined	Drop	474	28	115	5.27246
2.2	2	combined	Drop	546	15	123	3.4834
2.2	3	combined	Drop	120	16	29	3.84473
2.2	4	combined	Drop	198	38	34	8.01758
2.2	5	combined	Drop	500	46	116	10.3398
