Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.2	0	combined	Drop	4496	126	1124	31.7031
0.2	1	combined	Drop	0	0	0	0
0.2	2	combined	Drop	0	0	0	0
0.2	3	combined	Drop	0	0	0	0
0.2	4	combined	Drop	0	0	0	0
0.2	5	combined	Drop	0	0	0	0
0.2	6	combined	Drop	0	0	0	0
0.2	7	combined	Drop	0	0	0	0
0.2	8	combined	Drop	2644	2739	661	684.776
0.4	0	combined	Drop	5311	149	1103	31.1162
0.4	1	combined	Drop	0	0	0	0
0.4	2	combined	Drop	88	2	22	0.614258
0.4	3	combined	Drop	0	0	0	0
0.4	4	combined	Drop	0	0	0	0
0.4	5	combined	Drop	152	16	38	4.07617
0.4	6	combined	Drop	0	0	0	0
0.4	7	combined	Drop	0	0	0	0
0.4	8	combined	Drop	3668	3801	785	813.305
0.6	0	combined	Drop	5522	155	1115	31.458
0.6	1	combined	Drop	24	0	6	0.165039
0.6	2	combined	Drop	185	5	42	1.18945
0.6	3	combined	Drop	0	0	0	0
0.6	4	combined	Drop	0	0	0	0
0.6	5	combined	Drop	342	32	78	7.23926
0.6	6	combined	Drop	0	0	0	0
0.6	7	combined	Drop	0	0	0	0
0.6	8	combined	Drop	2613	2708	470	486.975
0.8	0	combined	Drop	5616	158	1128	31.9453
0.8	1	combined	Drop	112	3	27	0.764648
0.8	2	combined	Drop	36	0	0	0
0.8	3	combined	Drop	0	0	0	0
0.8	4	combined	Drop	16	16	4	4.14355
0.8	5	combined	Drop	72	6	1	0.0283203
0.8	6	combined	Drop	0	0	0	0
0.8	7	combined	Drop	0	0	0	0
0.8	8	combined	Drop	3314	3434	698	723.166
1	0	combined	Drop	5579	157	1114	31.4385
1	1	combined	Drop	22	0	0	0
1	2	combined	Drop	99	2	23	0.642578
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	3	3	0	0
1	5	combined	Drop	74	14	15	3.44824
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	3518	3645	714	739.753
1.2	0	combined	Drop	5575	157	1115	31.4629
1.2	1	combined	Drop	4	0	0	0
1.2	2	combined	Drop	191	5	43	1.21777
1.2	3	combined	Drop	0	0	0	0
1.2	4	combined	Drop	28	5	7	1.20605
1.2	5	combined	Drop	330	64	79	15.3262
1.2	6	combined	Drop	0	0	0	0
1.2	7	combined	Drop	0	0	0	0
1.2	8	combined	Drop	2971	3078	567	587.485
1.4	0	combined	Drop	5627	159	1128	31.9453
1.4	1	combined	Drop	0	0	0	0
1.4	2	combined	Drop	102	2	16	0.453125
1.4	3	combined	Drop	0	0	0	0
1.4	4	combined	Drop	825	68	205	16.8916
1.4	5	combined	Drop	582	79	129	16.7539
1.4	6	combined	Drop	0	0	0	0
1.4	7	combined	Drop	32	4	8	1.23438
1.4	8	combined	Drop	2362	2447	442	457.938
1.6	0	combined	Drop	5637	159	1128	31.9453
1.6	1	combined	Drop	0	0	0	0
1.6	2	combined	Drop	56	1	9	0.254883
1.6	3	combined	Drop	0	0	0	0
1.6	4	combined	Drop	321	26	39	3.12012
1.6	5	combined	Drop	156	16	10	0.283203
1.6	6	combined	Drop	0	0	0	0
1.6	7	combined	Drop	6	0	0	0
1.6	8	combined	Drop	2808	2909	584	605.102
1.8	0	combined	Drop	5543	156	1104	31.1631
1.8	1	combined	Drop	0	0	0	0
1.8	2	combined	Drop	35	0	6	0.169922
1.8	3	combined	Drop	0	0	0	0
1.8	4	combined	Drop	76	5	3	0.0849609
1.8	5	combined	Drop	83	16	13	3.3916
1.8	6	combined	Drop	0	0	0	0
1.8	7	combined	Drop	1	0	0	0
1.8	8	combined	Drop	3309	3429	687	711.807
2	0	combined	Drop	5616	158	1127	31.917
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	147	3	35	0.991211
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	259	40	61	9.79004
2	5	combined	Drop	64	12	12	2.35547
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	52	5	13	1.375
2	8	combined	Drop	2541	2633	470	486.982
2.2	0	combined	Drop	5675	160	1138	32.2285
2.2	1	combined	Drop	0	0	0	0
2.2	2	combined	Drop	41	0	3	0.0849609
2.2	3	combined	Drop	40	41	10	10.3613
2.2	4	combined	Drop	67	16	4	2.12891
2.2	5	combined	Drop	276	46	66	10.9395
2.2	6	combined	Drop	0	0	0	0
