Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2699	2796	1687	1747.79
1	0	combined	Drop	5121	144	2642	74.7031
1	1	combined	Drop	9	0	6	0.165039
1	2	combined	Drop	36	0	11	0.311523
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	4	4	3	3.10547
1	5	combined	Drop	65	8	20	3.58203
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	3064	3175	1578	1634.97
1.5	0	combined	Drop	5507	155	2802	79.2725
1.5	1	combined	Drop	104	7	64	4.83594
1.5	2	combined	Drop	221	6	134	3.79492
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	418	35	261	21.5
1.5	5	combined	Drop	462	46	281	28.0996
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2371	2456	1099	1138.66
2	0	combined	Drop	5615	158	2821	79.7852
2	1	combined	Drop	20	1	0	0
2	2	combined	Drop	143	3	62	1.74707
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	94	7	7	0.198242
2	5	combined	Drop	132	18	25	5.74121
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	0	0	0	0
2	8	combined	Drop	3127	3239	1658	1717.86
2.5	0	combined	Drop	5643	159	2825	80.0049
2.5	1	combined	Drop	13	10	6	6.2168
2.5	2	combined	Drop	134	3	66	1.86914
2.5	3	combined	Drop	20	21	13	13.4697
2.5	4	combined	Drop	375	29	223	17.4014
2.5	5	combined	Drop	405	44	237	25.8604
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	4	1	3	1.09277
2.5	8	combined	Drop	2462	2550	1148	1189.48
3	0	combined	Drop	5627	159	2812	79.5469
3	1	combined	Drop	5	5	2	2.07227
3	2	combined	Drop	66	1	25	0.708008
3	3	combined	Drop	3	4	0	0
3	4	combined	Drop	105	9	19	2.55371
3	5	combined	Drop	114	14	21	3.61133
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	0	0	0	0
3	8	combined	Drop	3386	3508	1809	1874.3
3.5	0	combined	Drop	5645	159	2825	80.0049
3.5	1	combined	Drop	18	19	11	11.3975
3.5	2	combined	Drop	14	0	1	0.0283203
3.5	3	combined	Drop	24	25	15	15.542
3.5	4	combined	Drop	317	27	185	16.3252
3.5	5	combined	Drop	186	34	102	20.0215
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	6	0	4	0.113281
3.5	8	combined	Drop	3086	3198	1506	1560.42
4	0	combined	Drop	5644	159	2822	79.8301
4	1	combined	Drop	50	8	29	2.83691
4	2	combined	Drop	108	2	66	1.86914
4	3	combined	Drop	4	4	0	0
4	4	combined	Drop	346	32	177	17.1055
4	5	combined	Drop	219	24	114	11.2891
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	1	0	0	0
4	8	combined	Drop	3174	3288	1598	1655.68
4.5	0	combined	Drop	5648	159	2825	80.0049
4.5	1	combined	Drop	9	1	0	0
4.5	2	combined	Drop	21	0	0	0
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	517	69	280	39.1699
4.5	5	combined	Drop	139	30	60	15.8066
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3242	3359	1630	1688.9
5	0	combined	Drop	5648	159	2824	79.9766
5	1	combined	Drop	62	19	38	12.1621
5	2	combined	Drop	68	1	40	1.13281
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	545	84	276	44.0977
5	5	combined	Drop	415	50	242	28.0176
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2998	3107	1469	1522.08
5.5	0	combined	Drop	5627	159	2811	79.5322
5.5	1	combined	Drop	175	11	102	4.9043
5.5	2	combined	Drop	180	4	104	2.94531
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	108	16	0	0
5.5	5	combined	Drop	139	18	35	5.00293
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	3343	3464	1715	1776.92
6	0	combined	Drop	5504	155	2737	77.5127
6	1	combined	Drop	243	12	130	6.70508
6	2	combined	Drop	189	5	96	2.71875
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	402	46	238	26.8965
6	5	combined	Drop	504	47	298	27.5879
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	2707	2804	1274	1320.03
6.5	0	combined	Drop	5619	158	2824	79.9766
6.5	1	combined	Drop	211	10	102	4.9043
6.5	2	combined	Drop	178	4	88	2.49219
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	616	64	335	34.6826
6.5	5	combined	Drop	476	55	235	28.8271
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2791	2891	1406	1456.8
7	0	combined	Drop	5640	159	2823	79.8682
7	1	combined	Drop	147	8	66	3.88477
7	2	combined	Drop	165	4	81	2.29395
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	268	44	91	19.71
7	5	combined	Drop	282	34	117	14.3916
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	3111	3223	1596	1653.62
7.5	0	combined	Drop	5579	157	2782	78.7871
7.5	1	combined	Drop	29	1	0	0
7.5	2	combined	Drop	85	2	33	0.93457
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	581	43	330	21.4326
7.5	5	combined	Drop	275	38	137	20.0029
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	2998	3106	1485	1538.66
8	0	combined	Drop	5634	159	2824	79.9766
8	1	combined	Drop	169	8	102	4.9043
8	2	combined	Drop	129	3	70	1.98242
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	493	82	236	45.9883
8	5	combined	Drop	416	56	226	30.5879
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2900	3005	1438	1489.96
8.5	0	combined	Drop	5646	159	2825	80.0049
8.5	1	combined	Drop	64	8	19	4.56934
8.5	2	combined	Drop	192	5	104	2.94531
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	546	75	280	37.1562
8.5	5	combined	Drop	524	55	276	27.9727
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2664	2761	1303	1350.08
9	0	combined	Drop	5630	159	2813	79.6016
9	1	combined	Drop	126	9	71	5.03418
9	2	combined	Drop	163	4	78	2.20898
9	3	combined	Drop	0	0	0	0
