Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2756	2856	1723	1785.08
1	0	combined	Drop	4997	141	2564	72.498
1	1	combined	Drop	187	11	117	7.31738
1	2	combined	Drop	121	3	64	1.7959
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	20	21	13	13.4668
1	5	combined	Drop	126	29	58	16.7354
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2788	2888	1398	1448.5
1.5	0	combined	Drop	5519	156	2825	80.0049
1.5	1	combined	Drop	203	19	104	11.0078
1.5	2	combined	Drop	217	6	121	3.42676
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	357	46	221	26.415
1.5	5	combined	Drop	529	57	315	32.1006
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2495	2585	1211	1254.76
2	0	combined	Drop	5635	159	2832	80.0957
2	1	combined	Drop	237	28	123	15.5771
2	2	combined	Drop	273	7	144	4.07129
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	149	29	49	12.4736
2	5	combined	Drop	157	19	32	4.93066
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	4	0	3	0.0849609
2	8	combined	Drop	2969	3076	1544	1599.72
2.5	0	combined	Drop	5645	159	2824	79.9766
2.5	1	combined	Drop	52	10	3	3.1084
2.5	2	combined	Drop	144	3	56	1.58594
2.5	3	combined	Drop	24	24	15	15.542
2.5	4	combined	Drop	386	32	223	16.3936
2.5	5	combined	Drop	234	28	127	15.6904
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	0	0	0	0
2.5	8	combined	Drop	2709	2806	1322	1369.77
3	0	combined	Drop	5658	159	2831	80.0664
3	1	combined	Drop	160	11	94	5.68457
3	2	combined	Drop	153	4	78	2.20898
3	3	combined	Drop	4	4	0	0
3	4	combined	Drop	114	20	23	8.71289
3	5	combined	Drop	98	34	32	18.0361
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	0	0	0	0
3	8	combined	Drop	3085	3197	1590	1647.38
3.5	0	combined	Drop	5650	159	2824	79.9766
3.5	1	combined	Drop	35	5	2	2.07227
3.5	2	combined	Drop	30	0	0	0
3.5	3	combined	Drop	12	12	7	7.25293
3.5	4	combined	Drop	298	27	172	14.9482
3.5	5	combined	Drop	253	53	146	29.3301
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	24	2	15	1.43262
3.5	8	combined	Drop	2999	3107	1489	1542.8
4	0	combined	Drop	5650	159	2825	80.0049
4	1	combined	Drop	371	45	228	27.6211
4	2	combined	Drop	297	8	182	5.1543
4	3	combined	Drop	2	2	0	0
4	4	combined	Drop	416	46	223	25.4639
4	5	combined	Drop	353	48	189	23.4932
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	4	0	0	0
4	8	combined	Drop	2438	2526	1149	1190.52
4.5	0	combined	Drop	5645	159	2822	79.8291
4.5	1	combined	Drop	179	15	66	3.88477
4.5	2	combined	Drop	241	6	114	3.22852
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	108	35	16	16.5781
4.5	5	combined	Drop	213	23	89	8.56152
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3042	3152	1597	1654.62
5	0	combined	Drop	5647	159	2824	79.9766
5	1	combined	Drop	139	14	65	6.87988
5	2	combined	Drop	137	3	56	1.58594
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	376	62	222	34.5059
5	5	combined	Drop	274	36	145	20.2314
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	3014	3123	1504	1558.34
5.5	0	combined	Drop	5649	159	2825	80.0049
5.5	1	combined	Drop	280	43	158	25.6387
5.5	2	combined	Drop	246	6	137	3.87988
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	537	78	289	41.4424
5.5	5	combined	Drop	158	26	65	11.9189
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	2887	2991	1428	1479.6
6	0	combined	Drop	5661	159	2832	80.1055
6	1	combined	Drop	177	16	76	5.17383
6	2	combined	Drop	90	2	26	0.736328
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	368	34	163	11.6709
6	5	combined	Drop	188	38	98	20.9131
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	3438	3562	1788	1852.54
6.5	0	combined	Drop	5652	159	2825	80.0049
6.5	1	combined	Drop	81	7	29	2.83691
6.5	2	combined	Drop	59	1	26	0.736328
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	427	49	221	26.415
6.5	5	combined	Drop	439	65	251	36.335
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	3191	3306	1565	1621.55
7	0	combined	Drop	5648	159	2824	79.9766
7	1	combined	Drop	317	34	188	20.4414
7	2	combined	Drop	248	6	148	4.19141
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	768	90	427	50.3896
7	5	combined	Drop	468	57	238	27.9043
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	2316	2400	1049	1086.9
7.5	0	combined	Drop	5644	159	2822	79.8408
7.5	1	combined	Drop	141	15	49	5.41895
7.5	2	combined	Drop	137	3	55	1.55762
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	180	46	17	17.6143
7.5	5	combined	Drop	220	24	79	8.27539
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	3111	3223	1655	1714.74
8	0	combined	Drop	5648	159	2825	80.0049
8	1	combined	Drop	569	53	338	31.7441
8	2	combined	Drop	497	13	294	8.32617
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	68	42	20	20.7227
8	5	combined	Drop	247	36	127	19.7188
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2542	2633	1200	1243.36
8.5	0	combined	Drop	5649	159	2825	80.0049
8.5	1	combined	Drop	408	41	184	19.3203
8.5	2	combined	Drop	331	9	145	4.10645
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	380	59	229	31.6807
8.5	5	combined	Drop	324	55	172	30.0664
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2494	2583	1241	1285.84
9	0	combined	Drop	5649	159	2825	80.0049
9	1	combined	Drop	353	62	170	34.041
9	2	combined	Drop	272	7	129	3.65332
