Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2756	2856	1723	1785.08
1	0	combined	Drop	5321	150	2767	78.1396
1	1	combined	Drop	187	11	117	7.31738
1	2	combined	Drop	155	4	85	2.38867
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	20	21	13	13.4668
1	5	combined	Drop	140	33	67	18.9961
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2973	3081	1514	1568.63
1.5	0	combined	Drop	5581	157	2823	79.8691
1.5	1	combined	Drop	208	19	107	11.0928
1.5	2	combined	Drop	253	7	139	3.93652
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	432	42	268	23.71
1.5	5	combined	Drop	469	51	276	27.9697
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2319	2403	1078	1116.91
2	0	combined	Drop	5615	158	2812	79.5518
2	1	combined	Drop	348	31	192	17.5303
2	2	combined	Drop	405	11	222	6.28711
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	177	31	57	14.7158
2	5	combined	Drop	159	26	41	10.2314
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	9	1	6	1.17773
2	8	combined	Drop	2665	2761	1376	1425.67
2.5	0	combined	Drop	5643	159	2825	80.0049
2.5	1	combined	Drop	164	23	59	10.7412
2.5	2	combined	Drop	274	7	121	3.42676
2.5	3	combined	Drop	9	8	6	5.20898
2.5	4	combined	Drop	296	42	163	22.7568
2.5	5	combined	Drop	225	25	121	12.4971
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	3	0	1	0.0283203
2.5	8	combined	Drop	2619	2713	1304	1351.12
3	0	combined	Drop	5626	159	2811	79.5205
3	1	combined	Drop	181	23	93	11.7041
3	2	combined	Drop	181	4	79	2.2373
3	3	combined	Drop	1	1	0	0
3	4	combined	Drop	71	21	8	8.28906
3	5	combined	Drop	62	16	11	7.36621
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	0	0	0	0
3	8	combined	Drop	3072	3183	1593	1650.51
3.5	0	combined	Drop	5650	159	2828	80.0898
3.5	1	combined	Drop	82	25	29	12.9141
3.5	2	combined	Drop	89	2	33	0.93457
3.5	3	combined	Drop	8	8	5	5.18066
3.5	4	combined	Drop	246	30	145	16.2002
3.5	5	combined	Drop	215	31	127	17.7061
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	20	2	13	1.37598
3.5	8	combined	Drop	3072	3183	1536	1591.5
4	0	combined	Drop	5650	159	2825	80.0049
4	1	combined	Drop	283	43	167	23.8779
4	2	combined	Drop	238	6	138	3.9082
4	3	combined	Drop	1	1	0	0
4	4	combined	Drop	473	55	265	30.6846
4	5	combined	Drop	316	34	171	17.9443
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	3	0	0	0
4	8	combined	Drop	2467	2556	1158	1199.84
4.5	0	combined	Drop	5611	158	2801	79.2529
4.5	1	combined	Drop	227	16	107	5.0459
4.5	2	combined	Drop	212	5	103	2.91699
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	398	53	190	26.54
4.5	5	combined	Drop	224	22	101	9.90625
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3090	3201	1623	1681.57
5	0	combined	Drop	5640	159	2824	79.9766
5	1	combined	Drop	163	22	74	12.1738
5	2	combined	Drop	167	4	78	2.20898
5	3	combined	Drop	43	1	27	0.764648
5	4	combined	Drop	561	93	301	51.8604
5	5	combined	Drop	190	32	91	17.6943
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2795	2896	1361	1410.18
5.5	0	combined	Drop	5648	159	2825	80.0049
5.5	1	combined	Drop	330	33	186	18.3691
5.5	2	combined	Drop	246	6	133	3.7666
5.5	3	combined	Drop	8	0	0	0
5.5	4	combined	Drop	411	73	187	34.5225
5.5	5	combined	Drop	300	38	164	19.7617
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	2843	2946	1428	1479.6
6	0	combined	Drop	5630	159	2813	79.5908
6	1	combined	Drop	112	9	29	1.82812
6	2	combined	Drop	90	2	26	0.736328
6	3	combined	Drop	1	0	0	0
6	4	combined	Drop	296	33	134	11.8574
6	5	combined	Drop	252	38	120	19.5225
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	3527	3654	1849	1915.75
6.5	0	combined	Drop	5641	159	2822	79.9199
6.5	1	combined	Drop	184	7	101	3.86816
6.5	2	combined	Drop	101	2	52	1.47266
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	582	60	327	33.4482
6.5	5	combined	Drop	420	56	231	30.7295
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2942	3048	1398	1448.51
7	0	combined	Drop	5646	159	2824	79.9766
7	1	combined	Drop	251	26	134	15.8887
7	2	combined	Drop	201	5	113	3.2002
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	462	83	216	44.4141
7	5	combined	Drop	373	45	181	21.251
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	2700	2797	1320	1367.7
7.5	0	combined	Drop	5614	158	2803	79.3262
7.5	1	combined	Drop	247	22	123	10.5381
7.5	2	combined	Drop	283	7	152	4.30469
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	252	48	100	19.9619
7.5	5	combined	Drop	143	20	43	7.25293
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	2898	3002	1474	1527.2
8	0	combined	Drop	5641	159	2824	79.9766
8	1	combined	Drop	388	39	212	22.1289
8	2	combined	Drop	370	10	196	5.55078
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	536	58	304	30.7803
8	5	combined	Drop	374	36	216	20.2266
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2413	2500	1146	1187.41
8.5	0	combined	Drop	5648	159	2825	80.0049
8.5	1	combined	Drop	408	33	207	15.9404
8.5	2	combined	Drop	333	9	162	4.58789
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	427	59	200	29.8516
8.5	5	combined	Drop	343	51	168	27.9375
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2554	2646	1295	1341.79
9	0	combined	Drop	5649	159	2825	80.0049
9	1	combined	Drop	377	34	185	17.333
9	2	combined	Drop	298	8	145	4.10645
