Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2756	2856	1723	1785.08
1	0	combined	Drop	5328	150	2771	78.2529
1	1	combined	Drop	187	11	117	7.31738
1	2	combined	Drop	155	4	85	2.38867
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	20	21	13	13.4668
1	5	combined	Drop	140	33	67	18.9961
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2973	3081	1514	1568.63
1.5	0	combined	Drop	5574	157	2818	79.7295
1.5	1	combined	Drop	266	21	143	12.1123
1.5	2	combined	Drop	282	7	157	4.44629
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	412	39	255	22.3369
1.5	5	combined	Drop	487	56	287	31.3037
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2402	2489	1130	1170.78
2	0	combined	Drop	5607	158	2808	79.4414
2	1	combined	Drop	366	29	196	15.626
2	2	combined	Drop	418	11	226	6.40039
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	176	28	59	12.7568
2	5	combined	Drop	179	24	51	8.49902
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	6	1	4	1.12012
2	8	combined	Drop	2539	2631	1287	1333.47
2.5	0	combined	Drop	5630	159	2818	79.8066
2.5	1	combined	Drop	111	14	24	5.71875
2.5	2	combined	Drop	181	4	61	1.72754
2.5	3	combined	Drop	16	13	10	8.3457
2.5	4	combined	Drop	382	33	217	17.2314
2.5	5	combined	Drop	275	34	150	18.3574
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	4	0	2	0.0566406
2.5	8	combined	Drop	2720	2818	1383	1432.97
3	0	combined	Drop	5618	158	2808	79.4395
3	1	combined	Drop	119	45	61	26.916
3	2	combined	Drop	119	3	52	1.47266
3	3	combined	Drop	3	2	0	0
3	4	combined	Drop	98	29	14	14.5059
3	5	combined	Drop	64	8	6	1.17676
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	0	0	0	0
3	8	combined	Drop	3438	3562	1809	1874.31
3.5	0	combined	Drop	5646	159	2827	80.0615
3.5	1	combined	Drop	241	42	136	20.9814
3.5	2	combined	Drop	215	6	120	3.39844
3.5	3	combined	Drop	26	15	16	9.52344
3.5	4	combined	Drop	290	31	169	15.8721
3.5	5	combined	Drop	249	26	148	15.2773
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	25	2	16	1.46094
3.5	8	combined	Drop	2825	2927	1336	1384.27
4	0	combined	Drop	5649	159	2825	80.0049
4	1	combined	Drop	200	27	95	11.7607
4	2	combined	Drop	310	8	167	4.72949
4	3	combined	Drop	5	2	0	0
4	4	combined	Drop	322	57	165	31.8838
4	5	combined	Drop	185	39	85	21.5557
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	4	0	0	0
4	8	combined	Drop	2371	2457	1129	1169.79
4.5	0	combined	Drop	5590	158	2788	78.8857
4.5	1	combined	Drop	86	9	29	2.83691
4.5	2	combined	Drop	145	3	52	1.47266
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	358	40	184	18.3076
4.5	5	combined	Drop	107	13	44	3.25195
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3381	3503	1817	1882.59
5	0	combined	Drop	5631	159	2821	79.8916
5	1	combined	Drop	441	44	265	26.6533
5	2	combined	Drop	294	9	166	5.70898
5	3	combined	Drop	43	1	27	0.764648
5	4	combined	Drop	521	82	281	46.2549
5	5	combined	Drop	167	32	91	18.7021
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2781	2882	1316	1363.55
5.5	0	combined	Drop	5646	159	2825	80.0049
5.5	1	combined	Drop	238	46	94	23.8262
5.5	2	combined	Drop	225	6	104	2.94531
5.5	3	combined	Drop	8	0	0	0
5.5	4	combined	Drop	416	80	195	39.7881
5.5	5	combined	Drop	364	67	207	38.1123
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	2844	2947	1430	1481.67
6	0	combined	Drop	5610	158	2801	79.2539
6	1	combined	Drop	346	38	187	18.3965
6	2	combined	Drop	269	7	140	3.96484
6	3	combined	Drop	1	0	0	0
6	4	combined	Drop	105	39	14	14.5059
6	5	combined	Drop	101	31	18	11.5928
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	3388	3510	1762	1825.6
6.5	0	combined	Drop	5634	159	2820	79.8633
6.5	1	combined	Drop	365	35	185	17.333
6.5	2	combined	Drop	261	7	130	3.68164
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	721	74	438	41.6309
6.5	5	combined	Drop	434	58	259	32.5303
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2471	2560	1121	1161.5
7	0	combined	Drop	5662	160	2835	80.2881
7	1	combined	Drop	497	38	265	19.5986
7	2	combined	Drop	415	11	227	6.42871
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	241	56	61	25.915
7	5	combined	Drop	285	57	124	28.707
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	2491	2580	1248	1293.09
7.5	0	combined	Drop	5650	159	2824	79.9766
7.5	1	combined	Drop	481	41	239	20.8779
7.5	2	combined	Drop	415	11	208	5.89062
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	409	74	226	39.6582
7.5	5	combined	Drop	178	29	76	11.2227
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	2533	2624	1272	1317.96
8	0	combined	Drop	5573	157	2777	78.5908
8	1	combined	Drop	481	38	241	18.9189
8	2	combined	Drop	499	13	260	7.36328
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	395	60	196	28.7246
8	5	combined	Drop	344	32	193	16.5381
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2405	2492	1187	1229.84
8.5	0	combined	Drop	5649	159	2834	80.2598
8.5	1	combined	Drop	457	43	226	22.5254
8.5	2	combined	Drop	352	9	158	4.47461
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	399	64	200	32.875
8.5	5	combined	Drop	270	28	126	13.6465
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2573	2666	1308	1355.26
9	0	combined	Drop	5651	159	2826	80.0332
9	1	combined	Drop	395	44	190	22.5137
9	2	combined	Drop	302	8	145	4.10645
