Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	0	0	0	0
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	0	0	0	0
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	0	0	0	0
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	1662	1722	1039	1076.49
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	600	35	375	22.3047
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2167	2245	1147	1188.42
1.5	0	combined	Drop	27	0	17	0.415039
1.5	1	combined	Drop	0	0	0	0
1.5	2	combined	Drop	0	0	0	0
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	0	0	0	0
1.5	5	combined	Drop	119	6	0	0
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	3089	3200	1660	1719.91
2	0	combined	Drop	5	0	0	0
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	475	32	297	20.3818
2	5	combined	Drop	23	1	0	0
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	379	17	237	10.8447
2	8	combined	Drop	1096	1135	299	309.802
2.5	0	combined	Drop	0	0	0	0
2.5	1	combined	Drop	0	0	0	0
2.5	2	combined	Drop	0	0	0	0
2.5	3	combined	Drop	0	0	0	0
2.5	4	combined	Drop	551	35	285	18.0781
2.5	5	combined	Drop	823	44	512	27.6729
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	75	3	0	0
2.5	8	combined	Drop	476	493	161	166.817
3	0	combined	Drop	0	0	0	0
3	1	combined	Drop	0	0	0	0
3	2	combined	Drop	0	0	0	0
3	3	combined	Drop	0	0	0	0
3	4	combined	Drop	524	39	259	20.4873
3	5	combined	Drop	446	25	176	10.3672
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	14	0	0	0
3	8	combined	Drop	378	392	177	183.395
3.5	0	combined	Drop	0	0	0	0
3.5	1	combined	Drop	0	0	0	0
3.5	2	combined	Drop	0	0	0	0
3.5	3	combined	Drop	0	0	0	0
3.5	4	combined	Drop	1322	145	761	86.3574
3.5	5	combined	Drop	89	4	0	0
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	2	0	0	0
3.5	8	combined	Drop	168	174	58	60.0879
4	0	combined	Drop	0	0	0	0
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	0	0	0	0
4	3	combined	Drop	0	0	0	0
4	4	combined	Drop	605	61	213	20.376
4	5	combined	Drop	17	0	0	0
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	0	0	0	0
4	8	combined	Drop	449	465	260	269.383
4.5	0	combined	Drop	0	0	0	0
4.5	1	combined	Drop	0	0	0	0
4.5	2	combined	Drop	0	0	0	0
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	120	12	0	0
4.5	5	combined	Drop	3	0	0	0
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	1504	1558	884	915.901
5	0	combined	Drop	0	0	0	0
5	1	combined	Drop	0	0	0	0
5	2	combined	Drop	0	0	0	0
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	23	2	0	0
5	5	combined	Drop	0	0	0	0
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	1601	1659	813	842.343
5.5	0	combined	Drop	0	0	0	0
5.5	1	combined	Drop	0	0	0	0
5.5	2	combined	Drop	0	0	0	0
5.5	3	combined	Drop	75	1	47	1.14746
5.5	4	combined	Drop	4	0	0	0
