Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	256	netDeviceFace://	InInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutInterests	4656	0	2910	0
0.5	0	256	netDeviceFace://	InData	67.2	69.4813	42	43.4258
0.5	0	256	netDeviceFace://	OutData	0	0	0	0
0.5	0	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutSatisfiedInterests	91.2	0	57	0
0.5	0	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutInterests	1139.2	0	712	0
0.5	0	257	netDeviceFace://	InData	24	24.8078	15	15.5049
0.5	0	257	netDeviceFace://	OutData	0	0	0	0
0.5	0	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutSatisfiedInterests	30.4	0	19	0
0.5	0	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	InInterests	8001.6	129.348	5001	80.8428
0.5	0	258	appFace://	OutInterests	0	0	0	0
0.5	0	258	appFace://	InData	0	0	0	0
0.5	0	258	appFace://	OutData	129.6	133.964	81	83.7275
0.5	0	258	appFace://	InSatisfiedInterests	65.6	0	41	0
0.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	155.2	0	97	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	InInterests	371.2	8.18438	232	5.11523
0.5	1	257	netDeviceFace://	OutInterests	3918.4	87.6484	2449	54.7803
0.5	1	257	netDeviceFace://	InData	68.8	71.1391	43	44.4619
0.5	1	257	netDeviceFace://	OutData	12.8	13.2313	8	8.26953
0.5	1	257	netDeviceFace://	InSatisfiedInterests	17.6	0	11	0
0.5	1	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	OutSatisfiedInterests	81.6	0	51	0
0.5	1	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InInterests	3934.4	87.9922	2459	54.9951
0.5	1	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InData	0	0	0	0
0.5	1	256	netDeviceFace://	OutData	73.6	76.1	46	47.5625
0.5	1	256	netDeviceFace://	InSatisfiedInterests	72	0	45	0
0.5	1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	258	netDeviceFace://	InInterests	0	0	0	0
