Time	Node	Type	Packets	
0.5	0	CacheHits	40
0.5	0	CacheMisses	2785
0.5	1	CacheHits	1
0.5	1	CacheMisses	2446
0.5	2	CacheHits	0
0.5	2	CacheMisses	2163
0.5	3	CacheHits	0
0.5	3	CacheMisses	624
0.5	4	CacheHits	4
0.5	4	CacheMisses	573
0.5	5	CacheHits	5
0.5	5	CacheMisses	2145
0.5	6	CacheHits	0
0.5	6	CacheMisses	0
0.5	7	CacheHits	0
0.5	7	CacheMisses	6
0.5	8	CacheHits	0
0.5	8	CacheMisses	2098
1	0	CacheHits	78
1	0	CacheMisses	333
1	1	CacheHits	14
1	1	CacheMisses	656
1	2	CacheHits	0
1	2	CacheMisses	939
1	3	CacheHits	1
1	3	CacheMisses	2169
1	4	CacheHits	10
1	4	CacheMisses	2213
1	5	CacheHits	20
1	5	CacheMisses	957
1	6	CacheHits	0
1	6	CacheMisses	7
1	7	CacheHits	0
1	7	CacheMisses	1249
1	8	CacheHits	7
1	8	CacheMisses	2250
1.5	0	CacheHits	62
1.5	0	CacheMisses	218
1.5	1	CacheHits	8
1.5	1	CacheMisses	231
1.5	2	CacheHits	0
1.5	2	CacheMisses	222
1.5	3	CacheHits	9
1.5	3	CacheMisses	308
1.5	4	CacheHits	41
1.5	4	CacheMisses	312
1.5	5	CacheHits	3
1.5	5	CacheMisses	216
1.5	6	CacheHits	0
1.5	6	CacheMisses	1071
1.5	7	CacheHits	24
1.5	7	CacheMisses	1573
1.5	8	CacheHits	0
1.5	8	CacheMisses	1783
2	0	CacheHits	73
2	0	CacheMisses	165
2	1	CacheHits	12
2	1	CacheMisses	133
2	2	CacheHits	0
2	2	CacheMisses	142
2	3	CacheHits	42
2	3	CacheMisses	249
2	4	CacheHits	26
2	4	CacheMisses	143
2	5	CacheHits	7
2	5	CacheMisses	148
2	6	CacheHits	0
2	6	CacheMisses	1651
2	7	CacheHits	2
2	7	CacheMisses	240
2	8	CacheHits	34
2	8	CacheMisses	362
2.5	0	CacheHits	51
2.5	0	CacheMisses	83
2.5	1	CacheHits	32
2.5	1	CacheMisses	118
2.5	2	CacheHits	2
2.5	2	CacheMisses	96
2.5	3	CacheHits	22
2.5	3	CacheMisses	136
2.5	4	CacheHits	76
2.5	4	CacheMisses	205
2.5	5	CacheHits	22
2.5	5	CacheMisses	96
2.5	6	CacheHits	0
2.5	6	CacheMisses	323
2.5	7	CacheHits	0
2.5	7	CacheMisses	197
2.5	8	CacheHits	193
2.5	8	CacheMisses	101
3	0	CacheHits	45
3	0	CacheMisses	76
3	1	CacheHits	24
3	1	CacheMisses	76
3	2	CacheHits	1
3	2	CacheMisses	98
3	3	CacheHits	26
3	3	CacheMisses	78
3	4	CacheHits	68
3	4	CacheMisses	88
3	5	CacheHits	23
3	5	CacheMisses	98
3	6	CacheHits	0
3	6	CacheMisses	191
3	7	CacheHits	0
3	7	CacheMisses	186
3	8	CacheHits	192
3	8	CacheMisses	101
3.5	0	CacheHits	57
3.5	0	CacheMisses	93
3.5	1	CacheHits	33
3.5	1	CacheMisses	67
3.5	2	CacheHits	0
3.5	2	CacheMisses	67
3.5	3	CacheHits	2
3.5	3	CacheMisses	84
3.5	4	CacheHits	20
3.5	4	CacheMisses	63
3.5	5	CacheHits	71
3.5	5	CacheMisses	67
3.5	6	CacheHits	0
3.5	6	CacheMisses	143
3.5	7	CacheHits	3
3.5	7	CacheMisses	20
3.5	8	CacheHits	35
3.5	8	CacheMisses	95
4	0	CacheHits	28
4	0	CacheMisses	60
4	1	CacheHits	12
4	1	CacheMisses	86
4	2	CacheHits	0
4	2	CacheMisses	86
4	3	CacheHits	67
4	3	CacheMisses	60
4	4	CacheHits	36
4	4	CacheMisses	75
4	5	CacheHits	14
4	5	CacheMisses	86
4	6	CacheHits	0
4	6	CacheMisses	62
4	7	CacheHits	144
4	7	CacheMisses	92
4	8	CacheHits	97
4	8	CacheMisses	333
4.5	0	CacheHits	31
4.5	0	CacheMisses	43
4.5	1	CacheHits	43
4.5	1	CacheMisses	43
4.5	2	CacheHits	0
4.5	2	CacheMisses	43
4.5	3	CacheHits	4
4.5	3	CacheMisses	82
4.5	4	CacheHits	48
4.5	4	CacheMisses	67
4.5	5	CacheHits	20
4.5	5	CacheMisses	43
4.5	6	CacheHits	0
4.5	6	CacheMisses	104
4.5	7	CacheHits	6
4.5	7	CacheMisses	67
4.5	8	CacheHits	22
4.5	8	CacheMisses	980
5	0	CacheHits	45
5	0	CacheMisses	59
5	1	CacheHits	18
5	1	CacheMisses	43
5	2	CacheHits	0
5	2	CacheMisses	43
5	3	CacheHits	7
5	3	CacheMisses	45
5	4	CacheHits	10
5	4	CacheMisses	61
5	5	CacheHits	81
5	5	CacheMisses	43
5	6	CacheHits	0
5	6	CacheMisses	70
