Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	0	0	0	0
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	0	0	0	0
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	0	0	0	0
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	1654	1714	1034	1071.31
1	0	combined	Drop	0	0	0	0
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	0	0	0	0
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	0	0	0	0
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2025	2098	1059	1097.25
1.5	0	combined	Drop	0	0	0	0
1.5	1	combined	Drop	0	0	0	0
1.5	2	combined	Drop	0	0	0	0
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	0	0	0	0
1.5	5	combined	Drop	492	28	308	17.6338
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	3190	3305	1741	1803.86
2	0	combined	Drop	0	0	0	0
2	1	combined	Drop	0	0	0	0
2	2	combined	Drop	0	0	0	0
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	649	44	406	28.1162
2	5	combined	Drop	98	5	0	0
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	262	12	164	8.04297
2	8	combined	Drop	1087	1126	281	291.119
2.5	0	combined	Drop	0	0	0	0
2.5	1	combined	Drop	0	0	0	0
2.5	2	combined	Drop	0	0	0	0
2.5	3	combined	Drop	387	25	242	16.0127
2.5	4	combined	Drop	1326	118	748	68.833
2.5	5	combined	Drop	19	0	0	0
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	52	2	0	0
2.5	8	combined	Drop	2182	2260	1228	1272.3
3	0	combined	Drop	24	0	15	0.366211
3	1	combined	Drop	0	0	0	0
3	2	combined	Drop	0	0	0	0
3	3	combined	Drop	379	115	189	69.3301
3	4	combined	Drop	1068	116	502	57.7637
3	5	combined	Drop	3	0	0	0
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	10	0	0	0
3	8	combined	Drop	2860	2963	1515	1569.71
3.5	0	combined	Drop	1219	29	759	18.5068
3.5	1	combined	Drop	0	0	0	0
3.5	2	combined	Drop	0	0	0	0
3.5	3	combined	Drop	525	211	281	118.109
3.5	4	combined	Drop	213	23	0	0
3.5	5	combined	Drop	0	0	0	0
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	1	0	0	0
3.5	8	combined	Drop	2410	2497	1149	1190.49
4	0	combined	Drop	1640	43	873	23.3115
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	0	0	0	0
4	3	combined	Drop	226	69	76	17.0293
4	4	combined	Drop	42	4	0	0
4	5	combined	Drop	17	5	11	3.30371
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	0	0	0	0
4	8	combined	Drop	1776	1840	809	838.21
4.5	0	combined	Drop	1689	43	851	21.7822
4.5	1	combined	Drop	0	0	0	0
4.5	2	combined	Drop	0	0	0	0
4.5	3	combined	Drop	157	95	70	51.2666
4.5	4	combined	Drop	8	0	0	0
4.5	5	combined	Drop	328	89	203	55.5225
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	281	37	176	23.5098
4.5	8	combined	Drop	1057	1095	439	454.856
5	0	combined	Drop	1853	53	947	28.1709
5	1	combined	Drop	0	0	0	0
5	2	combined	Drop	0	0	0	0
5	3	combined	Drop	31	18	0	0
5	4	combined	Drop	1147	215	716	134.827
5	5	combined	Drop	323	119	161	63.6133
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	422	53	229	28.8584
5	8	combined	Drop	913	946	439	454.857
5.5	0	combined	Drop	978	25	380	9.26855
5.5	1	combined	Drop	0	0	0	0
5.5	2	combined	Drop	0	0	0	0
