Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	256	netDeviceFace://	InInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutInterests	4832	0	3020	0
0.5	0	256	netDeviceFace://	InData	70.4	72.7875	44	45.4922
0.5	0	256	netDeviceFace://	OutData	0	0	0	0
0.5	0	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutSatisfiedInterests	112	0	70	0
0.5	0	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutInterests	1225.6	0	766	0
0.5	0	257	netDeviceFace://	InData	32	33.0719	20	20.6699
0.5	0	257	netDeviceFace://	OutData	0	0	0	0
0.5	0	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	257	netDeviceFace://	OutSatisfiedInterests	38.4	0	24	0
0.5	0	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	InInterests	8001.6	135.086	5001	84.4287
0.5	0	258	appFace://	OutInterests	0	0	0	0
0.5	0	258	appFace://	InData	0	0	0	0
0.5	0	258	appFace://	OutData	142.4	147.188	89	91.9922
0.5	0	258	appFace://	InSatisfiedInterests	73.6	0	46	0
0.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	171.2	0	107	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	InInterests	371.2	8.18438	232	5.11523
0.5	1	257	netDeviceFace://	OutInterests	3880	86.7531	2425	54.2207
0.5	1	257	netDeviceFace://	InData	68.8	71.1391	43	44.4619
0.5	1	257	netDeviceFace://	OutData	11.2	11.5766	7	7.23535
0.5	1	257	netDeviceFace://	InSatisfiedInterests	16	0	10	0
0.5	1	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	OutSatisfiedInterests	92.8	0	58	0
0.5	1	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InInterests	3937.6	88	2461	55
0.5	1	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InData	0	0	0	0
0.5	1	256	netDeviceFace://	OutData	86.4	89.3266	54	55.8291
0.5	1	256	netDeviceFace://	InSatisfiedInterests	81.6	0	51	0
0.5	1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	258	netDeviceFace://	InInterests	0	0	0	0
0.5	1	258	netDeviceFace://	OutInterests	424	9.325	265	5.82812
0.5	1	258	netDeviceFace://	InData	28.8	29.7641	18	18.6025
0.5	1	258	netDeviceFace://	OutData	0	0	0	0
0.5	1	258	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	1	258	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	258	netDeviceFace://	OutSatisfiedInterests	33.6	0	21	0
0.5	1	258	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	102.4	0	64	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	InInterests	396.8	8.75156	248	5.46973
0.5	2	257	netDeviceFace://	OutInterests	3444.8	77.0156	2153	48.1348
0.5	2	257	netDeviceFace://	InData	72	74.4469	45	46.5293
0.5	2	257	netDeviceFace://	OutData	0	0	0	0
0.5	2	257	netDeviceFace://	InSatisfiedInterests	16	0	10	0
0.5	2	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	OutSatisfiedInterests	72	0	45	0
0.5	2	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	InInterests	3444.8	77.0156	2153	48.1348
0.5	2	256	netDeviceFace://	OutInterests	396.8	8.75156	248	5.46973
0.5	2	256	netDeviceFace://	InData	9.6	9.92344	6	6.20215
0.5	2	256	netDeviceFace://	OutData	72	74.4469	45	46.5293
0.5	2	256	netDeviceFace://	InSatisfiedInterests	72	0	45	0
