Time	Node	Type	Packets	
0.5	0	CacheHits	43
0.5	0	CacheMisses	2785
0.5	1	CacheHits	3
0.5	1	CacheMisses	2395
0.5	2	CacheHits	0
0.5	2	CacheMisses	2140
0.5	3	CacheHits	0
0.5	3	CacheMisses	621
0.5	4	CacheHits	4
0.5	4	CacheMisses	572
0.5	5	CacheHits	4
0.5	5	CacheMisses	2134
0.5	6	CacheHits	0
0.5	6	CacheMisses	47
0.5	7	CacheHits	2
0.5	7	CacheMisses	48
0.5	8	CacheHits	0
0.5	8	CacheMisses	2136
1	0	CacheHits	108
1	0	CacheMisses	337
1	1	CacheHits	11
1	1	CacheMisses	708
1	2	CacheHits	1
1	2	CacheMisses	963
1	3	CacheHits	10
1	3	CacheMisses	2145
1	4	CacheHits	14
1	4	CacheMisses	2194
1	5	CacheHits	29
1	5	CacheMisses	969
1	6	CacheHits	0
1	6	CacheMisses	302
1	7	CacheHits	9
1	7	CacheMisses	1176
1	8	CacheHits	5
1	8	CacheMisses	2136
1.5	0	CacheHits	83
1.5	0	CacheMisses	215
1.5	1	CacheHits	29
1.5	1	CacheMisses	234
1.5	2	CacheHits	1
1.5	2	CacheMisses	226
1.5	3	CacheHits	21
1.5	3	CacheMisses	328
1.5	4	CacheHits	41
1.5	4	CacheMisses	327
1.5	5	CacheHits	4
1.5	5	CacheMisses	222
1.5	6	CacheHits	0
1.5	6	CacheMisses	1776
1.5	7	CacheHits	15
1.5	7	CacheMisses	1592
1.5	8	CacheHits	0
1.5	8	CacheMisses	1862
2	0	CacheHits	85
2	0	CacheMisses	164
2	1	CacheHits	15
2	1	CacheMisses	129
2	2	CacheHits	3
2	2	CacheMisses	116
2	3	CacheHits	95
2	3	CacheMisses	228
2	4	CacheHits	52
2	4	CacheMisses	205
2	5	CacheHits	16
2	5	CacheMisses	120
2	6	CacheHits	0
2	6	CacheMisses	751
2	7	CacheHits	12
2	7	CacheMisses	249
2	8	CacheHits	42
2	8	CacheMisses	357
2.5	0	CacheHits	43
2.5	0	CacheMisses	78
2.5	1	CacheHits	29
2.5	1	CacheMisses	103
2.5	2	CacheHits	9
2.5	2	CacheMisses	110
2.5	3	CacheHits	73
2.5	3	CacheMisses	126
2.5	4	CacheHits	59
2.5	4	CacheMisses	83
2.5	5	CacheHits	84
2.5	5	CacheMisses	106
2.5	6	CacheHits	1
2.5	6	CacheMisses	266
2.5	7	CacheHits	25
2.5	7	CacheMisses	184
2.5	8	CacheHits	366
2.5	8	CacheMisses	982
3	0	CacheHits	44
3	0	CacheMisses	56
3	1	CacheHits	27
3	1	CacheMisses	48
3	2	CacheHits	0
3	2	CacheMisses	62
3	3	CacheHits	95
3	3	CacheMisses	107
3	4	CacheHits	75
3	4	CacheMisses	111
3	5	CacheHits	62
3	5	CacheMisses	66
3	6	CacheHits	3
3	6	CacheMisses	199
3	7	CacheHits	57
3	7	CacheMisses	117
3	8	CacheHits	365
3	8	CacheMisses	1267
3.5	0	CacheHits	56
3.5	0	CacheMisses	78
3.5	1	CacheHits	29
3.5	1	CacheMisses	56
3.5	2	CacheHits	1
3.5	2	CacheMisses	48
3.5	3	CacheHits	102
3.5	3	CacheMisses	44
3.5	4	CacheHits	96
3.5	4	CacheMisses	67
3.5	5	CacheHits	44
3.5	5	CacheMisses	48
3.5	6	CacheHits	0
3.5	6	CacheMisses	81
3.5	7	CacheHits	58
3.5	7	CacheMisses	79
3.5	8	CacheHits	140
3.5	8	CacheMisses	1128
4	0	CacheHits	27
4	0	CacheMisses	47
4	1	CacheHits	54
4	1	CacheMisses	48
4	2	CacheHits	1
4	2	CacheMisses	56
4	3	CacheHits	83
4	3	CacheMisses	50
4	4	CacheHits	109
4	4	CacheMisses	64
4	5	CacheHits	51
4	5	CacheMisses	56
4	6	CacheHits	2
4	6	CacheMisses	63
4	7	CacheHits	18
4	7	CacheMisses	69
4	8	CacheHits	333
4	8	CacheMisses	586
4.5	0	CacheHits	16
4.5	0	CacheMisses	39
4.5	1	CacheHits	58
4.5	1	CacheMisses	48
4.5	2	CacheHits	0
4.5	2	CacheMisses	48
4.5	3	CacheHits	119
4.5	3	CacheMisses	49
4.5	4	CacheHits	93
4.5	4	CacheMisses	65
4.5	5	CacheHits	54
4.5	5	CacheMisses	48
4.5	6	CacheHits	2
4.5	6	CacheMisses	55
4.5	7	CacheHits	33
4.5	7	CacheMisses	62
4.5	8	CacheHits	46
4.5	8	CacheMisses	518
5	0	CacheHits	28
5	0	CacheMisses	37
5	1	CacheHits	89
5	1	CacheMisses	39
5	2	CacheHits	0
5	2	CacheMisses	39
5	3	CacheHits	127
5	3	CacheMisses	50
5	4	CacheHits	126
5	4	CacheMisses	72
5	5	CacheHits	29
5	5	CacheMisses	43
5	6	CacheHits	0
5	6	CacheMisses	55
5	7	CacheHits	12
5	7	CacheMisses	57
5	8	CacheHits	78
5	8	CacheMisses	477
5.5	0	CacheHits	14
5.5	0	CacheMisses	25
5.5	1	CacheHits	64
5.5	1	CacheMisses	29
5.5	2	CacheHits	0
5.5	2	CacheMisses	29
5.5	3	CacheHits	105
5.5	3	CacheMisses	47
5.5	4	CacheHits	77
5.5	4	CacheMisses	30
5.5	5	CacheHits	34
5.5	5	CacheMisses	32
5.5	6	CacheHits	0
5.5	6	CacheMisses	63
5.5	7	CacheHits	19
5.5	7	CacheMisses	76
5.5	8	CacheHits	217
5.5	8	CacheMisses	342
6	0	CacheHits	22
6	0	CacheMisses	23
6	1	CacheHits	107
6	1	CacheMisses	39
6	2	CacheHits	0
6	2	CacheMisses	39
6	3	CacheHits	164
6	3	CacheMisses	30
6	4	CacheHits	133
6	4	CacheMisses	38
6	5	CacheHits	48
6	5	CacheMisses	32
6	6	CacheHits	1
6	6	CacheMisses	49
6	7	CacheHits	9
6	7	CacheMisses	47
6	8	CacheHits	86
6	8	CacheMisses	415
6.5	0	CacheHits	31
6.5	0	CacheMisses	51
6.5	1	CacheHits	129
6.5	1	CacheMisses	36
6.5	2	CacheHits	0
6.5	2	CacheMisses	40
6.5	3	CacheHits	161
6.5	3	CacheMisses	46
6.5	4	CacheHits	117
6.5	4	CacheMisses	22
6.5	5	CacheHits	60
6.5	5	CacheMisses	35
6.5	6	CacheHits	1
6.5	6	CacheMisses	36
6.5	7	CacheHits	12
6.5	7	CacheMisses	134
6.5	8	CacheHits	153
6.5	8	CacheMisses	381
7	0	CacheHits	26
7	0	CacheMisses	33
7	1	CacheHits	111
7	1	CacheMisses	58
7	2	CacheHits	0
7	2	CacheMisses	81
7	3	CacheHits	73
7	3	CacheMisses	199
7	4	CacheHits	98
7	4	CacheMisses	97
7	5	CacheHits	67
7	5	CacheMisses	51
7	6	CacheHits	1
7	6	CacheMisses	168
7	7	CacheHits	95
7	7	CacheMisses	185
7	8	CacheHits	168
7	8	CacheMisses	564
7.5	0	CacheHits	25
7.5	0	CacheMisses	20
7.5	1	CacheHits	155
7.5	1	CacheMisses	74
7.5	2	CacheHits	0
7.5	2	CacheMisses	70
7.5	3	CacheHits	162
7.5	3	CacheMisses	401
7.5	4	CacheHits	173
7.5	4	CacheMisses	187
7.5	5	CacheHits	119
7.5	5	CacheMisses	51
7.5	6	CacheHits	0
7.5	6	CacheMisses	250
7.5	7	CacheHits	130
7.5	7	CacheMisses	199
7.5	8	CacheHits	110
7.5	8	CacheMisses	591
8	0	CacheHits	21
8	0	CacheMisses	17
8	1	CacheHits	182
8	1	CacheMisses	71
8	2	CacheHits	0
8	2	CacheMisses	85
8	3	CacheHits	204
8	3	CacheMisses	226
8	4	CacheHits	238
8	4	CacheMisses	93
8	5	CacheHits	95
8	5	CacheMisses	49
8	6	CacheHits	0
8	6	CacheMisses	185
8	7	CacheHits	67
8	7	CacheMisses	170
8	8	CacheHits	111
8	8	CacheMisses	549
8.5	0	CacheHits	10
8.5	0	CacheMisses	23
8.5	1	CacheHits	127
8.5	1	CacheMisses	72
8.5	2	CacheHits	1
8.5	2	CacheMisses	110
8.5	3	CacheHits	205
8.5	3	CacheMisses	136
8.5	4	CacheHits	186
8.5	4	CacheMisses	55
8.5	5	CacheHits	140
8.5	5	CacheMisses	68
8.5	6	CacheHits	0
8.5	6	CacheMisses	114
8.5	7	CacheHits	47
8.5	7	CacheMisses	81
8.5	8	CacheHits	178
8.5	8	CacheMisses	489
9	0	CacheHits	13
9	0	CacheMisses	26
9	1	CacheHits	221
9	1	CacheMisses	145
9	2	CacheHits	0
9	2	CacheMisses	139
9	3	CacheHits	183
9	3	CacheMisses	167
9	4	CacheHits	192
9	4	CacheMisses	45
9	5	CacheHits	76
9	5	CacheMisses	117
9	6	CacheHits	1
9	6	CacheMisses	151
9	7	CacheHits	45
9	7	CacheMisses	76
9	8	CacheHits	215
9	8	CacheMisses	360
9.5	0	CacheHits	18
9.5	0	CacheMisses	18
9.5	1	CacheHits	257
9.5	1	CacheMisses	320
9.5	2	CacheHits	0
9.5	2	CacheMisses	304
9.5	3	CacheHits	241
9.5	3	CacheMisses	104
9.5	4	CacheHits	204
9.5	4	CacheMisses	72
9.5	5	CacheHits	58
9.5	5	CacheMisses	310
9.5	6	CacheHits	0
9.5	6	CacheMisses	67
9.5	7	CacheHits	21
9.5	7	CacheMisses	65
9.5	8	CacheHits	108
9.5	8	CacheMisses	609
10	0	CacheHits	14
10	0	CacheMisses	15
10	1	CacheHits	225
10	1	CacheMisses	154
10	2	CacheHits	1
10	2	CacheMisses	188
10	3	CacheHits	198
10	3	CacheMisses	101
10	4	CacheHits	119
10	4	CacheMisses	96
10	5	CacheHits	51
10	5	CacheMisses	189
10	6	CacheHits	1
10	6	CacheMisses	82
10	7	CacheHits	19
10	7	CacheMisses	63
10	8	CacheHits	86
10	8	CacheMisses	550
10.5	0	CacheHits	9
10.5	0	CacheMisses	15
10.5	1	CacheHits	294
10.5	1	CacheMisses	57
10.5	2	CacheHits	0
10.5	2	CacheMisses	91
10.5	3	CacheHits	291
10.5	3	CacheMisses	55
10.5	4	CacheHits	183
